Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
345,Gone with the Wind,402382193,200882193,0.50,201500000,0.50,1939
618,Bambi,267447150,102247150,0.38,165200000,0.62,1942
670,The Godfather,250341816,136381073,0.55,113960743,0.46,1972
298,The Exorcist,441306145,233005644,0.53,208300501,0.47,1973
259,Jaws,476512065,265859065,0.56,210653000,0.44,1975
112,Star Wars: Episode IV - A New Hope,775398007,460998507,0.59,314399500,0.41,1977
526,Close Encounters of the Third Kind,306889114,135189114,0.44,171700000,0.56,1977
720,Saturday Night Fever,237113184,94213184,0.40,142900000,0.60,1977
352,Grease,396271103,190071103,0.48,206200000,0.52,1978
541,Superman,300478449,134478449,0.45,166000000,0.55,1978
217,Star Wars: Episode V - The Empire Strikes Back,538375067,292753960,0.54,245621107,0.46,1980
359,Raiders of the Lost Ark,389925971,248159971,0.64,141766000,0.36,1981
104,E.T. the Extra-Terrestrial,792910554,437141279,0.55,355769275,0.45,1982
262,Star Wars: Episode VI - Return of the Jedi,475106177,316566101,0.67,158540076,0.33,1983
471,Indiana Jones and the Temple of Doom,333107271,179870271,0.54,153237000,0.46,1984
505,Beverly Hills Cop,316360478,234760478,0.74,81600000,0.26,1984
557,Ghostbusters,296578797,243578797,0.82,53000000,0.18,1984
371,Back to the Future,383336762,212836762,0.56,170500000,0.45,1985
542,Rocky IV,300473716,127873716,0.43,172600000,0.57,1985
543,Rambo: First Blood Part II,300400432,150415432,0.50,149985000,0.50,1985
754,Out of Africa,227514205,87071205,0.38,140443000,0.62,1985
421,Top Gun,357288178,180258178,0.50,177030000,0.50,1986
482,Crocodile Dundee,328203506,174803506,0.53,153400000,0.47,1986
499,Fatal Attraction,320145693,156645693,0.49,163500000,0.51,1987
547,Beverly Hills Cop II,299965036,153665036,0.51,146300000,0.49,1987
426,Rain Man,354825435,172825435,0.49,182000000,0.51,1988
478,Who Framed Roger Rabbit,329803958,156452370,0.47,173351588,0.53,1988
573,Coming to America,288752301,128152301,0.44,160600000,0.56,1988
712,Crocodile Dundee II,239606210,109306210,0.46,130300000,0.54,1988
265,Indiana Jones and the Last Crusade,474171806,197171806,0.42,277000000,0.58,1989
328,Batman,411569241,251409241,0.61,160160000,0.39,1989
473,Back to the Future Part II,332500002,119000002,0.36,213500000,0.64,1989
555,Look Who's Talking,296999813,140088813,0.47,156911000,0.53,1989
725,Dead Poets Society,235860116,95860116,0.41,140000000,0.59,1989
752,Lethal Weapon 2,227853986,147253986,0.65,80600000,0.35,1989
775,Honey  I Shrunk the Kids,222724172,130724172,0.59,92000000,0.41,1989
235,Ghost,505703557,217631306,0.43,288072251,0.57,1990
258,Home Alone,476684675,285761243,0.60,190923432,0.40,1990
276,Pretty Woman,463406268,178406268,0.39,285000000,0.62,1990
317,Dances with Wolves,424208848,184208848,0.43,240000000,0.57,1990
634,Total Recall,261317921,119412921,0.46,141905000,0.54,1990
692,Back to the Future Part III,245077583,88277583,0.36,156800000,0.64,1990
711,Die Hard 2,240031274,117540947,0.49,122490327,0.51,1990
780,Presumed Innocent,221303188,86303188,0.39,135000000,0.61,1990
232,Terminator 2: Judgment Day,520881154,205881154,0.40,315000000,0.61,1991
316,Beauty and the Beast,424967620,218967620,0.52,206000000,0.49,1991
358,Robin Hood: Prince of Thieves,390493908,165493908,0.42,225000000,0.58,1991
540,Hook,300854823,119654823,0.40,181200000,0.60,1991
605,The Silence of the Lambs,272742922,130742922,0.48,142000000,0.52,1991
236,Aladdin,504050219,217350219,0.43,286700000,0.57,1992
329,The Bodyguard,411046449,122046449,0.30,289000000,0.70,1992
418,Home Alone 2: Lost in New York,358994850,173585516,0.48,185409334,0.52,1992
430,Basic Instinct,352927224,117727224,0.33,235200000,0.67,1992
494,Lethal Weapon 3,321731527,144731527,0.45,177000000,0.55,1992
620,Batman Returns,266934688,162924631,0.61,104010057,0.39,1992
699,A Few Good Men,243240178,141340178,0.58,101900000,0.42,1992
740,Sister Act,231605150,139605150,0.60,92000000,0.40,1992
34,Jurassic Park,1113138548,407185075,0.37,705953473,0.63,1993
299,Mrs. Doubtfire,441286195,219195243,0.50,222090952,0.50,1993
398,The Fugitive,368875760,183875760,0.50,185000000,0.50,1993
491,Schindler's List,322161245,96898818,0.30,225262427,0.70,1993
609,The Firm,270248367,158348367,0.59,111900000,0.41,1993
621,Indecent Proposal,266614059,106614059,0.40,160000000,0.60,1993
654,Cliffhanger,255000211,84049211,0.33,170951000,0.67,1993
751,Sleepless in Seattle,227927165,126808165,0.56,101119000,0.44,1993
57,The Lion King,968511805,422783777,0.44,545728028,0.56,1994
151,Forrest Gump,678226465,330455270,0.49,347771195,0.51,1994
379,True Lies,378882411,146282411,0.39,232600000,0.61,1994
438,The Mask,351583407,119938730,0.34,231644677,0.66,1994
440,Speed,350448145,121248145,0.35,229200000,0.65,1994
456,The Flintstones,341631208,130531208,0.38,211100000,0.62,1994
680,Dumb and Dumber,247290327,127190327,0.51,120100000,0.49,1994
685,Four Weddings and a Funeral,245700832,52700832,0.21,193000000,0.79,1994
771,Interview with the Vampire: The Vampire Chronicles,223664608,105264608,0.47,118400000,0.53,1994
354,Toy Story,394436586,223225679,0.57,171210907,0.43,1995
403,Die Hard with a Vengeance,366101666,100012499,0.27,266089167,0.73,1995
425,Apollo 13,355237933,173837933,0.49,181400000,0.51,1995
434,GoldenEye,352194034,106429941,0.30,245764093,0.70,1995
451,Pocahontas,346079773,141579773,0.41,204500000,0.59,1995
461,Batman Forever,336567158,184069126,0.55,152498032,0.45,1995
484,Se7en,327333559,100125643,0.31,227207916,0.69,1995
577,Casper,287928194,100328194,0.35,187600000,0.65,1995
625,Waterworld,264218220,88246220,0.33,175972000,0.67,1995
629,Jumanji,262821940,100499940,0.38,162322000,0.62,1995
656,Babe,254134910,63658910,0.25,190476000,0.75,1995
97,Independence Day,817400891,306169268,0.38,511231623,0.63,1996
243,Twister,494580615,241830615,0.49,252750000,0.51,1996
282,Mission: Impossible,457696391,180981856,0.40,276714535,0.61,1996
465,The Rock,335062621,134069511,0.40,200993110,0.60,1996
487,The Hunchback of Notre Dame,325338851,100138851,0.31,225200000,0.69,1996
497,101 Dalmatians,320689294,136189294,0.43,184500000,0.58,1996
519,Ransom,309492681,136492681,0.44,173000000,0.56,1996
601,The Nutty Professor,273961019,128814019,0.47,145147000,0.53,1996
602,Jerry Maguire,273552592,153952592,0.56,119600000,0.44,1996
704,Eraser,242295562,101295562,0.42,141000000,0.58,1996
739,The English Patient,231976425,78676425,0.34,153300000,0.66,1996
744,Space Jam,230594962,90594962,0.39,140000000,0.61,1996
4,Titanic,2264743305,674292608,0.30,1590450697,0.70,1997
177,The Lost World: Jurassic Park,618638999,229086679,0.37,389552320,0.63,1997
